timestamp,open,high,low,close,volume
2024-09-01 21:00:00,74.2,75.07,73.55,74.7,31497
2024-09-02 21:00:00,74.59,74.91,70.72,70.81,62315
2024-09-03 21:00:00,70.8,72.04,69.4,69.81,71428
2024-09-04 21:00:00,69.81,71.35,69.33,69.88,56884
2024-09-05 21:00:00,69.89,70.65,67.68,68.65,63234
2024-09-08 21:00:00,68.55,69.36,67.72,69.22,61467
2024-09-09 21:00:00,69.09,69.45,65.64,66.66,65501
2024-09-10 21:00:00,66.62,68.28,65.95,67.67,67607
2024-09-11 21:00:00,67.62,70.1,67.53,69.49,56482
2024-09-12 21:00:00,69.6,70.57,68.74,69.51,44784
2024-09-15 21:00:00,69.35,70.84,68.8,70.65,38177
2024-09-16 21:00:00,70.63,72.02,69.71,71.21,34866
2024-09-17 21:00:00,71.22,71.54,69.79,70.16,52831
2024-09-18 21:00:00,70.14,72.53,70.13,72.14,40518
2024-09-19 21:00:00,72.14,72.41,71.34,72.22,34241
2024-09-22 21:00:00,72.23,72.68,70.37,71.59,43929
2024-09-23 21:00:00,71.64,73.24,71.29,72.41,38613
2024-09-24 21:00:00,72.36,72.54,70.07,70.64,48540
2024-09-25 21:00:00,70.6,70.78,67.74,68.24,66818
2024-09-26 21:00:00,68.26,69.41,67.82,69.37,51682
2024-09-29 21:00:00,69.2,69.98,68.24,68.95,57801
2024-09-30 21:00:00,69.0,72.56,66.98,71.37,67849
2024-10-01 21:00:00,71.35,73.08,70.48,71.6,53887
2024-10-02 21:00:00,71.54,74.65,71.12,74.26,57053
2024-10-03 21:00:00,74.49,76.09,74.02,74.97,55303
2024-10-06 21:00:00,74.52,77.84,74.08,77.76,51365
2024-10-07 21:00:00,77.85,78.88,73.13,74.33,75021
2024-10-08 21:00:00,74.22,74.82,71.96,73.75,70772
2024-10-09 21:00:00,73.65,76.6,73.65,75.96,53553
2024-10-10 21:00:00,76.02,76.36,74.85,75.73,50726
2024-10-13 21:00:00,75.11,75.15,72.12,72.23,55128
2024-10-14 21:00:00,71.74,72.32,69.93,71.22,60762
2024-10-15 21:00:00,71.13,71.45,69.83,70.85,46209
2024-10-16 21:00:00,70.78,71.26,69.59,70.9,43729
2024-10-17 21:00:00,70.9,71.35,68.86,69.53,46101
2024-10-20 21:00:00,69.45,70.98,69.07,70.36,39880
2024-10-21 21:00:00,70.42,72.65,69.92,71.86,47137
2024-10-22 21:00:00,71.87,72.27,70.68,71.58,40041
2024-10-23 21:00:00,71.51,72.86,70.29,70.86,40816
2024-10-24 21:00:00,70.87,72.42,70.48,72.19,36631
2024-10-27 21:00:00,68.81,69.32,67.37,68.44,47158
2024-10-28 21:00:00,68.44,68.93,67.15,67.91,40101
2024-10-29 21:00:00,67.77,69.57,67.71,69.5,39931
2024-10-30 21:00:00,69.46,71.17,68.68,70.89,45279
2024-10-31 21:00:00,70.84,71.79,69.69,69.71,45211
2024-11-03 22:00:00,70.98,72.11,70.56,72.02,36168
2024-11-04 22:00:00,71.91,72.96,71.59,72.27,31762
2024-11-05 22:00:00,72.29,72.9,70.02,72.13,56186
2024-11-06 22:00:00,72.06,73.11,70.94,72.42,43474
2024-11-07 22:00:00,72.4,72.48,70.23,70.67,37859
2024-11-10 22:00:00,70.44,70.73,68.11,68.3,39274
2024-11-11 22:00:00,68.26,69.29,67.91,68.12,37722
2024-11-12 22:00:00,68.1,68.99,67.08,68.19,40842
2024-11-13 22:00:00,68.18,69.5,68.04,68.74,38681
2024-11-14 22:00:00,68.64,68.79,67.0,67.16,36643
2024-11-17 22:00:00,66.97,69.59,66.76,69.33,35430
2024-11-18 22:00:00,69.25,69.94,68.69,69.51,40028
2024-11-19 22:00:00,69.48,70.14,68.83,69.22,30143
2024-11-20 22:00:00,69.23,70.55,69.04,70.31,32694
2024-11-21 22:00:00,70.33,71.67,69.47,71.37,36117
2024-11-24 22:00:00,71.5,71.58,68.91,69.22,40587
2024-11-25 22:00:00,69.19,70.44,68.2,69.13,37256
2024-11-26 22:00:00,69.06,69.5,68.32,68.91,36240
2024-11-27 22:00:00,68.87,69.42,68.41,69.02,19932
