timestamp,open,high,low,close,volume
2025-08-19 13:00:00,1.0883,1.08929,1.08757,1.08889,27176
2025-08-19 17:00:00,1.08888,1.08996,1.08855,1.08907,15341
2025-08-19 21:00:00,1.08832,1.09039,1.08712,1.08996,14737
2025-08-20 01:00:00,1.08997,1.09029,1.08899,1.08936,19398
2025-08-20 05:00:00,1.08937,1.09189,1.0891,1.09077,25024
2025-08-20 09:00:00,1.09081,1.09115,1.08679,1.0868,21993
2025-08-20 13:00:00,1.0868,1.08743,1.08149,1.08221,29146
2025-08-20 17:00:00,1.0823,1.08232,1.08086,1.08161,17759
2025-08-20 21:00:00,1.08079,1.08296,1.0794,1.08237,14853
2025-08-21 01:00:00,1.08238,1.08338,1.08212,1.08322,16415
2025-08-21 05:00:00,1.08321,1.08453,1.08243,1.08423,24570
2025-08-21 09:00:00,1.0842,1.08592,1.08333,1.08389,26307
2025-08-21 13:00:00,1.08394,1.08532,1.08349,1.0843,33042
2025-08-21 17:00:00,1.08431,1.08536,1.08394,1.08403,15492
2025-08-21 21:00:00,1.0831,1.08546,1.08161,1.08539,13082
2025-08-22 01:00:00,1.08538,1.0862,1.08499,1.08527,17327
2025-08-22 05:00:00,1.08523,1.08585,1.08457,1.0855,23118
2025-08-22 09:00:00,1.08552,1.08608,1.08368,1.08381,24065
2025-08-22 13:00:00,1.08382,1.08592,1.08216,1.08373,38036
2025-08-22 17:00:00,1.08369,1.0839,1.08291,1.08339,19181
2025-08-24 21:00:00,1.08162,1.08458,1.08137,1.08383,15321
2025-08-25 01:00:00,1.08381,1.0853,1.08334,1.08491,15361
2025-08-25 05:00:00,1.08492,1.08572,1.08271,1.08284,21685
2025-08-25 09:00:00,1.08286,1.08459,1.08242,1.08363,21696
2025-08-25 13:00:00,1.08367,1.08516,1.08332,1.08468,26965
2025-08-25 17:00:00,1.08465,1.08558,1.08371,1.08375,20442
2025-08-25 21:00:00,1.08235,1.08487,1.0812,1.08316,17985
2025-08-26 01:00:00,1.08315,1.08424,1.08303,1.08388,20774
2025-08-26 05:00:00,1.08389,1.08646,1.08377,1.08618,29774
2025-08-26 09:00:00,1.08617,1.08659,1.08409,1.0844,28289
2025-08-26 13:00:00,1.08442,1.08497,1.08241,1.08268,29542
2025-08-26 17:00:00,1.08269,1.08309,1.08223,1.0824,16648
2025-08-26 21:00:00,1.08233,1.08347,1.08123,1.08319,13481
2025-08-27 01:00:00,1.08321,1.08372,1.08272,1.08298,15399
2025-08-27 05:00:00,1.08297,1.08476,1.08259,1.08428,23199
2025-08-27 09:00:00,1.08429,1.08479,1.08187,1.08233,24613
2025-08-27 13:00:00,1.08232,1.08311,1.08153,1.08234,27825
2025-08-27 17:00:00,1.08233,1.08353,1.08203,1.0827,17775
2025-08-27 21:00:00,1.08157,1.08281,1.08136,1.08272,12337
2025-08-28 01:00:00,1.08271,1.08308,1.08226,1.08243,15087
2025-08-28 05:00:00,1.08244,1.08344,1.08087,1.08153,22659
2025-08-28 09:00:00,1.08155,1.08362,1.08088,1.08299,26715
2025-08-28 13:00:00,1.08298,1.08426,1.08235,1.08245,29624
2025-08-28 17:00:00,1.08243,1.08327,1.08193,1.08239,15477
2025-08-28 21:00:00,1.08157,1.08364,1.08058,1.08346,15000
2025-08-29 01:00:00,1.08347,1.08432,1.08318,1.08364,17749
2025-08-29 05:00:00,1.08365,1.08372,1.07819,1.0791,23521
2025-08-29 09:00:00,1.07909,1.08093,1.07835,1.08009,25911
2025-08-29 13:00:00,1.08014,1.08096,1.07819,1.07966,32214
2025-08-29 17:00:00,1.07967,1.08148,1.07943,1.08072,16160
2025-08-31 21:00:00,1.07742,1.08266,1.07712,1.08238,12598
2025-09-01 01:00:00,1.0824,1.08241,1.08082,1.08094,25309
2025-09-01 05:00:00,1.08094,1.08191,1.08077,1.08115,23962
2025-09-01 09:00:00,1.08115,1.08422,1.0806,1.0841,22616
2025-09-01 13:00:00,1.08415,1.08595,1.08301,1.08502,20508
2025-09-01 17:00:00,1.08501,1.08506,1.08381,1.08382,9760
2025-09-01 21:00:00,1.08316,1.08488,1.08245,1.08464,14382
2025-09-02 01:00:00,1.08465,1.08494,1.08367,1.08397,19999
2025-09-02 05:00:00,1.08399,1.08475,1.07583,1.07881,31437
2025-09-02 09:00:00,1.07887,1.0794,1.07491,1.07513,34625
2025-09-02 13:00:00,1.07512,1.07744,1.07426,1.07666,33654
2025-09-02 17:00:00,1.07668,1.0779,1.0759,1.07733,18270
2025-09-02 21:00:00,1.07645,1.07792,1.0754,1.07757,12955
2025-09-03 01:00:00,1.0776,1.07764,1.07647,1.07651,18730
2025-09-03 05:00:00,1.07649,1.07824,1.07517,1.07814,27328
2025-09-03 09:00:00,1.07816,1.08112,1.07708,1.08092,26463
2025-09-03 13:00:00,1.08095,1.08132,1.07822,1.08034,32057
2025-09-03 17:00:00,1.08036,1.08129,1.08035,1.08116,18706
2025-09-03 21:00:00,1.08009,1.08107,1.07849,1.08093,15822
2025-09-04 01:00:00,1.08091,1.08091,1.07983,1.08013,19206
2025-09-04 05:00:00,1.08013,1.08264,1.0798,1.08222,23876
2025-09-04 09:00:00,1.08223,1.08302,1.08082,1.08281,26289
2025-09-04 13:00:00,1.0828,1.08357,1.0814,1.08274,29289
2025-09-04 17:00:00,1.08273,1.08373,1.08202,1.08229,14706
2025-09-04 21:00:00,1.08085,1.08281,1.07957,1.08269,14134
2025-09-05 01:00:00,1.08272,1.08275,1.08201,1.08245,17301
2025-09-05 05:00:00,1.08247,1.0835,1.08142,1.08206,21834
2025-09-05 09:00:00,1.08206,1.08295,1.07957,1.08138,28544
2025-09-05 13:00:00,1.08133,1.08159,1.07701,1.07808,38752
2025-09-05 17:00:00,1.07807,1.07861,1.0771,1.07723,20829
2025-09-07 21:00:00,1.07598,1.07847,1.07318,1.07749,20430
2025-09-08 01:00:00,1.0775,1.07793,1.07622,1.0763,25901
2025-09-08 05:00:00,1.07629,1.07704,1.07517,1.07549,27284
2025-09-08 09:00:00,1.07549,1.07707,1.07538,1.07619,25002
2025-09-08 13:00:00,1.0762,1.07624,1.07412,1.07528,27155
2025-09-08 17:00:00,1.07529,1.07551,1.07404,1.07425,16107
2025-09-08 21:00:00,1.0735,1.0749,1.07305,1.07458,14971
2025-09-09 01:00:00,1.07459,1.07556,1.07427,1.07543,18082
2025-09-09 05:00:00,1.07544,1.0774,1.07435,1.07642,28048
2025-09-09 09:00:00,1.07643,1.07792,1.07593,1.07753,26085
2025-09-09 13:00:00,1.07752,1.07897,1.07622,1.07851,33154
2025-09-09 17:00:00,1.07849,1.07906,1.07809,1.07824,18050
2025-09-09 21:00:00,1.07723,1.07899,1.07578,1.07887,14436
2025-09-10 01:00:00,1.07887,1.07946,1.07862,1.07895,20087
2025-09-10 05:00:00,1.07896,1.07976,1.07798,1.07887,25083
2025-09-10 09:00:00,1.07888,1.08121,1.07861,1.07976,27116
2025-09-10 13:00:00,1.07979,1.0818,1.07895,1.08121,30350
2025-09-10 17:00:00,1.08122,1.08159,1.08086,1.08124,15767
2025-09-10 21:00:00,1.07987,1.0815,1.07861,1.08111,11450
2025-09-11 01:00:00,1.0811,1.08118,1.0803,1.08039,15101
2025-09-11 05:00:00,1.0804,1.08104,1.0797,1.08019,23491
2025-09-11 09:00:00,1.08024,1.08144,1.07892,1.08053,30322
2025-09-11 13:00:00,1.08052,1.08122,1.07824,1.08072,34735
2025-09-11 17:00:00,1.08071,1.08094,1.07975,1.07994,18491
2025-09-11 21:00:00,1.07899,1.08071,1.07783,1.08048,12934
2025-09-12 01:00:00,1.08045,1.08045,1.07962,1.08011,15500
2025-09-12 05:00:00,1.08008,1.08012,1.07888,1.07914,23753
2025-09-12 09:00:00,1.07911,1.08062,1.07895,1.08041,26218
2025-09-12 13:00:00,1.08038,1.08086,1.0798,1.08017,26420
2025-09-12 17:00:00,1.08018,1.08037,1.07968,1.07974,15529
2025-09-14 21:00:00,1.07868,1.07997,1.07758,1.07978,12722
2025-09-15 01:00:00,1.07975,1.0806,1.07969,1.08033,15652
2025-09-15 05:00:00,1.08032,1.08251,1.0801,1.08132,21868
2025-09-15 09:00:00,1.08131,1.08287,1.08082,1.08207,23383
2025-09-15 13:00:00,1.08208,1.08237,1.07957,1.08061,27032
2025-09-15 17:00:00,1.08062,1.08119,1.08015,1.08031,17106
2025-09-15 21:00:00,1.07968,1.08118,1.07923,1.08057,11478
2025-09-16 01:00:00,1.08059,1.08095,1.08038,1.08066,18144
2025-09-16 05:00:00,1.08067,1.08108,1.07934,1.07953,24942
2025-09-16 09:00:00,1.07951,1.07991,1.07785,1.07881,24926
2025-09-16 13:00:00,1.07882,1.07892,1.07385,1.07394,27247
2025-09-16 17:00:00,1.07395,1.07424,1.07164,1.07189,16085
2025-09-16 21:00:00,1.07143,1.07358,1.07142,1.07339,10012
2025-09-17 01:00:00,1.07342,1.07398,1.07319,1.07365,10810
2025-09-17 05:00:00,1.07363,1.07441,1.07312,1.07337,16058
2025-09-17 09:00:00,1.07335,1.07486,1.07285,1.07445,16805
2025-09-17 13:00:00,1.07444,1.07559,1.07401,1.0754,20140
2025-09-17 17:00:00,1.07541,1.07596,1.07297,1.07461,34056
2025-09-17 21:00:00,1.07328,1.07522,1.07241,1.07466,13918
2025-09-18 01:00:00,1.07467,1.07589,1.07447,1.07583,15465
2025-09-18 05:00:00,1.07582,1.0769,1.07499,1.0763,22369
2025-09-18 09:00:00,1.07631,1.07661,1.07418,1.07539,27934
2025-09-18 13:00:00,1.0754,1.07566,1.07284,1.07381,35213
2025-09-18 17:00:00,1.07382,1.07437,1.07351,1.07383,18170
2025-09-18 21:00:00,1.07257,1.07476,1.07146,1.0737,20548
2025-09-19 01:00:00,1.07369,1.07438,1.07341,1.0741,25514
2025-09-19 05:00:00,1.0741,1.07441,1.07106,1.07355,29875
2025-09-19 09:00:00,1.07356,1.07372,1.07186,1.07202,26770
2025-09-19 13:00:00,1.07202,1.07263,1.071,1.07153,31501
2025-09-19 17:00:00,1.07152,1.07207,1.07096,1.07141,18059
2025-09-21 21:00:00,1.06924,1.07301,1.0682,1.07278,18403
2025-09-22 01:00:00,1.07275,1.07316,1.0725,1.07292,21240
2025-09-22 05:00:00,1.07295,1.07341,1.07134,1.07183,24391
2025-09-22 09:00:00,1.07185,1.07287,1.07007,1.07137,23955
2025-09-22 13:00:00,1.07135,1.07248,1.07065,1.07112,26818
2025-09-22 17:00:00,1.07111,1.07157,1.0706,1.07061,13929
2025-09-22 21:00:00,1.06957,1.0711,1.06926,1.07084,18448
2025-09-23 01:00:00,1.07082,1.07096,1.06976,1.07052,21000
2025-09-23 05:00:00,1.07053,1.07252,1.06867,1.06934,27805
2025-09-23 09:00:00,1.06934,1.07155,1.06887,1.07139,26894
2025-09-23 13:00:00,1.07137,1.07243,1.07036,1.07066,35923
2025-09-23 17:00:00,1.07065,1.07082,1.06933,1.0701,22570
2025-09-23 21:00:00,1.06874,1.07066,1.06825,1.07037,16945
2025-09-24 01:00:00,1.07037,1.07069,1.07004,1.07005,18729
2025-09-24 05:00:00,1.07006,1.07064,1.06874,1.07056,24210
2025-09-24 09:00:00,1.07055,1.07115,1.06777,1.0683,27390
2025-09-24 13:00:00,1.06829,1.0697,1.06706,1.06953,29401
2025-09-24 17:00:00,1.06952,1.07025,1.06891,1.06905,15017
2025-09-24 21:00:00,1.06772,1.06926,1.06751,1.06899,15822
2025-09-25 01:00:00,1.06903,1.07013,1.06898,1.06997,15595
2025-09-25 05:00:00,1.06995,1.07163,1.06967,1.07059,23396
2025-09-25 09:00:00,1.07062,1.07086,1.06761,1.06948,26861
2025-09-25 13:00:00,1.06945,1.06991,1.0675,1.06824,35646
2025-09-25 17:00:00,1.06825,1.06843,1.06641,1.06645,20096
2025-09-25 21:00:00,1.06569,1.0676,1.06536,1.06735,15267
