timestamp,open,high,low,close,volume
2025-12-26 18:00:00,1.34957,1.34998,1.34928,1.34954,4426
2025-12-26 19:00:00,1.34953,1.35001,1.34901,1.35001,3415
2025-12-26 20:00:00,1.35001,1.35064,1.34992,1.35033,2981
2025-12-26 21:00:00,1.35034,1.35057,1.34925,1.34944,1913
2025-12-28 22:00:00,1.34835,1.34932,1.34802,1.34881,1559
2025-12-28 23:00:00,1.34899,1.35011,1.34839,1.34971,3394
2025-12-29 00:00:00,1.34972,1.35082,1.34971,1.35076,4112
2025-12-29 01:00:00,1.35075,1.3512,1.35056,1.35093,4521
2025-12-29 02:00:00,1.35092,1.35102,1.35022,1.35069,3401
2025-12-29 03:00:00,1.35067,1.35098,1.3503,1.35068,2891
2025-12-29 04:00:00,1.35067,1.35069,1.34942,1.34943,2421
2025-12-29 05:00:00,1.34942,1.3495,1.34836,1.34912,3134
2025-12-29 06:00:00,1.34912,1.34974,1.34871,1.34966,3737
2025-12-29 07:00:00,1.34967,1.34976,1.3482,1.3485,5769
2025-12-29 08:00:00,1.34841,1.34982,1.34771,1.3486,6190
2025-12-29 09:00:00,1.34855,1.35078,1.34736,1.34905,6853
2025-12-29 10:00:00,1.34902,1.35088,1.34887,1.34974,5938
2025-12-29 11:00:00,1.34972,1.35106,1.34888,1.3489,5557
2025-12-29 12:00:00,1.34886,1.34895,1.34692,1.34826,6229
2025-12-29 13:00:00,1.34825,1.3497,1.34795,1.34938,6694
2025-12-29 14:00:00,1.34937,1.35074,1.34859,1.35008,7815
2025-12-29 15:00:00,1.35009,1.35128,1.34856,1.35007,8818
2025-12-29 16:00:00,1.35005,1.35008,1.34852,1.34937,7398
2025-12-29 17:00:00,1.34935,1.34956,1.34816,1.34858,5054
2025-12-29 18:00:00,1.34859,1.34958,1.34846,1.34909,4065
2025-12-29 19:00:00,1.34908,1.35084,1.34891,1.3507,3411
2025-12-29 20:00:00,1.35069,1.35101,1.3502,1.35049,3049
2025-12-29 21:00:00,1.3505,1.35155,1.35037,1.35131,2201
2025-12-29 22:00:00,1.35061,1.35088,1.3496,1.35015,3291
2025-12-29 23:00:00,1.35013,1.35098,1.34995,1.35091,2511
2025-12-30 00:00:00,1.35089,1.35104,1.34998,1.35025,2275
2025-12-30 01:00:00,1.35022,1.35095,1.34977,1.35089,3103
2025-12-30 02:00:00,1.35094,1.3512,1.35004,1.35027,2925
2025-12-30 03:00:00,1.35028,1.35078,1.34996,1.35053,2014
2025-12-30 04:00:00,1.35054,1.3511,1.3504,1.35104,1999
2025-12-30 05:00:00,1.35105,1.35172,1.35105,1.35149,2867
2025-12-30 06:00:00,1.3515,1.35217,1.35115,1.35157,3899
2025-12-30 07:00:00,1.35153,1.35153,1.35004,1.35058,4282
2025-12-30 08:00:00,1.35059,1.35187,1.3505,1.35089,5367
2025-12-30 09:00:00,1.3509,1.35187,1.35075,1.35145,4889
2025-12-30 10:00:00,1.35146,1.35306,1.35144,1.35213,4775
2025-12-30 11:00:00,1.35212,1.35247,1.35031,1.35044,4370
2025-12-30 12:00:00,1.35044,1.35083,1.34934,1.34968,4988
2025-12-30 13:00:00,1.34962,1.34995,1.3487,1.34879,6457
2025-12-30 14:00:00,1.34875,1.34882,1.34711,1.34763,6791
